Osceola,Osceola City of,Mississippi,35.7623,-90.0524,144,117,OIL,Arkansas,AR
Ozark,USCE-Little Rock District,Franklin,35.4693,-93.8175,345241,0,HYDRO,Arkansas,AR
Paragould Reciprocating,Paragould Light & Water Comm,Greene,36.1239,-90.5575,1616,851,GAS,Arkansas,AR
Paragould Turbine,Paragould Light & Water Comm,Greene,36.1239,-90.5575,334,262,GAS,Arkansas,AR
Pine Bluff Energy Center,Calpine,Jefferson,34.2181,-91.9025,841317,255949,GAS,Arkansas,AR
Pine Bluff Mill,Evergreen Packaging Inc,Jefferson,34.2204,-91.9063,371972,153889,BIOMASS,Arkansas,AR
Potlatch Southern Wood Products,Potlatch Forest Products Corp,Bradley,33.6206,-92.0789,78165,975,BIOMASS,Arkansas,AR
Remmel,Entergy Arkansas Inc,Hot Spring,34.4272,-92.8941,30018,0,HYDRO,Arkansas,AR
Robert E Ritchie,Entergy Arkansas Inc,Phillips,34.4629,-90.5987,0,0,,Arkansas,AR
STEC-S LLC,Riceland Foods Inc,Arkansas,34.2914,-91.3678,5091,181,BIOMASS,Arkansas,AR
Thomas Fitzhugh,Arkansas Electric Coop Corp,Franklin,35.4617,-93.8053,112224,65170,GAS,Arkansas,AR
Two Pine Gas Recovery,Waste Management Inc,Pulaski,34.7748,-92.3081,33438,0,BIOMASS,Arkansas,AR
Union Power Partners LP,Entegra Power,Union,33.2961,-92.5933,3581910,1639818,GAS,Arkansas,AR
Whillock,Arkansas Electric Coop Corp,Conway,35.2661,-92.6959,120048,0,HYDRO,Arkansas,AR
White Bluff,Entergy Arkansas Inc,Jefferson,34.4236,-92.1392,9994547,11114662,COAL,Arkansas,AR
Agua Fria,Salt River Project,Maricopa,33.5542,-112.2161,200689,140602,GAS,Arizona,AZ
Apache Station,Arizona Electric Pwr Coop Inc,Cochise,32.0619,-109.8931,3061396,3733619,COAL,Arizona,AZ
Arlington Valley Energy Facility,LS Power Group,Maricopa,33.3417,-112.8897,1515271,657416,GAS,Arizona,AZ
Biosphere 2 Center,University of Arizona-Biosphere 2,Pinal,32.5786,-110.8506,151,286,OIL,Arizona,AZ
Catalyst Paper - Snowflake Mill,Catalyst Paper Corp,Navajo,34.5025,-110.3361,381154,229373,COAL,Arizona,AZ
Cholla,Arizona Public Service Co,Navajo,34.9394,-110.3033,7940365,9091059,COAL,Arizona,AZ
Cogeneration 1,University of Arizona,Pima,32.105,-111.7931,54083,27508,GAS,Arizona,AZ
Coronado,Salt River Project,Apache,34.5778,-109.2717,5813324,6647168,COAL,Arizona,AZ
Crosscut,Salt River Project,Maricopa,33.44,-111.9442,3134,0,HYDRO,Arizona,AZ
Davis Dam,USBR-Lower Colorado Region,Mohave,35.1967,-114.5698,1130791,0,HYDRO,Arizona,AZ
Demoss Petrie,Tucson Electric Power Co,Pima,32.2511,-110.9889,17916,15400,GAS,Arizona,AZ
Desert Basin,Salt River Project,Pinal,32.9042,-111.7889,1643070,814665,GAS,Arizona,AZ
Douglas,Arizona Public Service Co,Cochise,31.889,-109.7494,135,209,OIL,Arizona,AZ
Gila River Power Station,Entegra Power,Maricopa,32.9761,-112.694,7251234,3175683,GAS,Arizona,AZ
Glen Canyon Dam,USBR-Upper Colorado Region,Coconino,36.9373,-111.4838,3441281,0,HYDRO,Arizona,AZ
Griffith Energy LLC,LS Power Group,Mohave,35.0517,-114.1334,1967892,849068,GAS,Arizona,AZ
H Wilson Sundt Generating Station,Tucson Electric Power Co,Pima,32.16,-110.9047,1038986,1064550,COAL,Arizona,AZ
Harquahala Generating Project,NAES Co,Maricopa,33.4759,-113.1133,3007705,1270022,GAS,Arizona,AZ
Headgate Rock,Colorado River Indian Irr Proj,La Paz,33.73,-113.9794,80013,0,HYDRO,Arizona,AZ
Hoover Dam,USBR-Lower Colorado Region,Mohave,36.014,-114.7384,1787092,0,HYDRO,Arizona,AZ
